cynthia,7,0,4,7,0,0,3,1,4,1,0,7,0,0,0,0,0,0,0,8,10,0,0,0,0,0,7,3,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
diane,0,10,8,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,5,8,0,0,0,0,0,7,1,0,6,0,10,10,0,8,0,0,0,0
joan,8,8,0,0,0,4,0,0,2,0,0,0,0,0,0,6,10,0,0,0,7,0,6,0,5,0,1,1,0,5,8,0,0,0,0,10,3,0,0,6,0,0,9,10,6,9,0,0,0,0
barbara,0,0,4,4,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,10,0,0,0,8,0,9,0,0,0,0,0,9,3,0,6,2,0,6,0,0,7,0,0,0,3
doris,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,4,2,0,10,0,9,0,7,0,0,0,5,0,0,0,6,0,9,0,0,3,0,0,0,0,0,0,0,0,3,6,0,2
margaret,0,2,0,0,0,0,0,0,0,1,3,0,0,1,0,3,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,0,1,10,4,2,5,2,0,0,0,3,7,0
jerry,3,0,0,3,0,0,0,0,0,9,0,4,0,0,0,7,0,0,0,0,0,0,0,4,4,0,0,7,0,0,6,0,0,0,1,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0
stephen,0,0,0,0,2,0,0,3,0,0,0,0,5,0,4,8,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
brittany,0,0,0,0,1,0,0,0,3,0,7,8,2,0,0,8,3,5,3,0,0,0,0,10,0,0,0,0,0,0,9,1,7,0,0,10,0,0,8,0,0,0,9,0,0,0,8,0,0,2
jane,0,0,9,6,0,0,0,2,0,0,10,10,0,3,4,2,3,0,0,8,0,0,0,2,2,0,8,0,0,0,0,0,7,3,0,0,0,9,9,0,0,0,10,0,7,0,0,0,0,8
laura,10,0,0,7,9,0,0,0,0,0,0,0,6,0,0,9,0,0,0,3,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,0,1,0,7
janet,0,0,9,0,0,0,0,0,0,4,0,6,9,0,0,0,0,0,1,7,8,0,0,1,0,0,0,0,0,0,0,10,0,0,0,8,0,4,0,1,0,0,0,0,5,3,0,0,0,0
charles,0,5,0,0,0,0,10,0,0,0,0,4,0,3,0,0,0,0,0,0,7,0,2,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,10,0,10,0,0,9
jean,0,0,8,8,0,0,0,6,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,6,3,2,0,5,0,6,9,0,3,4,5,0,8,0,0,0,0,1,0,0,7,0,1,0,0,7
frank,3,0,0,6,0,0,0,0,0,0,3,0,0,9,0,0,8,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,3,8,0,0,0,3,2,9,0,0,0,0,0
jennifer,9,0,9,0,8,3,0,1,0,0,3,3,0,0,10,2,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,2
keith,0,3,0,0,0,0,0,0,5,0,0,0,3,0,0,1,0,1,0,6,0,0,0,0,0,6,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,9,0,4,7,0,8,6,0
sandra,0,0,1,0,0,0,3,0,10,0,10,0,7,10,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,7,0,0,3,8,6,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1
rebecca,0,10,0,0,0,1,0,0,1,0,9,4,0,0,0,0,0,0,9,2,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,7,10,7,0,0
benjamin,0,0,0,0,0,0,0,0,5,0,0,10,9,0,0,6,4,0,0,6,0,4,1,0,8,0,1,0,0,0,8,0,7,0,0,0,4,0,0,0,0,0,0,0,0,10,0,7,7,0
jacqueline,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,6,0,0,10,0,9,0,0,5,0,7,0,5,6,0,10,0,0
arthur,1,0,4,9,0,2,0,0,6,0,0,3,5,0,7,0,0,0,0,0,0,0,0,6,0,10,5,1,5,0,0,1,3,0,0,1,6,0,8,0,0,0,0,0,0,0,0,0,0,0
mary,0,10,0,0,0,0,0,4,10,0,0,5,7,0,0,0,0,0,5,2,0,4,0,0,0,0,0,4,0,0,0,0,9,0,1,7,0,4,0,0,0,10,7,6,0,4,0,0,8,0
timothy,0,0,0,0,0,0,0,0,0,0,2,9,0,2,5,0,0,0,0,0,4,1,0,0,0,0,0,0,10,0,0,5,5,0,0,0,0,0,3,0,10,0,0,6,0,0,7,0,0,0
katherine,3,10,0,9,0,0,0,0,1,0,9,5,0,0,0,4,4,0,0,0,0,1,10,6,0,0,3,0,7,0,0,0,0,0,2,0,10,2,5,0,9,0,0,0,4,0,0,0,8,0
christian,0,1,4,1,4,5,0,6,0,0,0,0,2,0,0,4,10,6,0,0,7,0,0,1,4,8,4,0,0,0,0,2,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,1,0,0
kimberly,10,3,0,0,0,0,0,0,0,4,3,0,5,0,0,0,0,8,8,0,0,0,0,0,0,0,2,4,0,4,0,2,0,0,0,3,6,1,0,0,4,0,5,0,0,0,0,0,0,3
russell,3,6,0,7,0,0,0,4,9,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,7,0,8,0,2,10,0,0,7,0,9,0,1,0,0,0
elizabeth,0,7,9,0,0,0,0,0,1,3,0,0,0,0,8,9,8,10,0,9,0,9,0,0,0,0,0,0,8,0,0,2,9,0,1,0,0,0,0,0,0,1,0,0,0,5,0,3,0,5
gregory,0,5,0,0,3,0,0,8,0,6,0,9,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,1,0,6,0,0,0,0,0,6,0,0,10,5,7,0,0,0,0,4,0,2,1
carl,1,0,0,0,0,2,0,0,0,0,0,2,9,8,7,2,4,0,0,10,7,10,0,0,0,0,8,0,7,4,7,8,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,7,10,4
john,0,2,0,0,0,0,2,5,5,0,0,3,6,0,0,8,10,2,0,7,0,0,0,0,0,0,0,0,4,4,0,5,0,7,0,0,0,0,1,0,0,6,1,7,0,9,0,0,0,0
judith,0,0,10,0,6,0,0,5,0,0,0,0,0,0,0,8,0,2,1,0,9,5,0,0,0,0,0,0,10,0,2,0,0,1,6,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0
scott,6,0,0,0,7,0,0,0,0,4,0,0,8,0,0,0,0,0,0,5,2,6,0,0,0,7,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2
lauren,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,1,0,0,0,1,7,6,5,1,0,4,2,0,0,0,0,8,0,0,0,7,0,5,0,3,0,0
gloria,0,0,5,0,0,8,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,7,7,0,5,0,0,0,1,3,1,1,2,0,0,0,0,2,9,4,0,2,3,0,0,0,5,0,0,0
rachel,0,0,9,0,0,0,0,0,0,0,10,0,0,5,6,6,0,0,7,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,4,0,0,0,6,0,8
alice,10,3,0,6,4,10,0,0,0,0,0,5,0,5,5,0,0,3,0,0,0,0,6,2,0,0,0,0,0,6,0,3,0,6,0,0,0,0,1,7,6,0,0,0,3,0,0,0,7,0
gerald,0,1,0,0,0,0,5,9,0,0,0,3,0,0,0,0,0,0,3,10,0,6,0,0,0,0,4,8,0,5,3,0,0,0,0,2,5,0,0,10,0,0,0,0,7,0,0,0,0,8
megan,6,6,6,8,0,1,3,0,0,0,0,4,0,0,9,1,0,5,3,0,0,0,10,0,0,0,0,0,9,0,0,0,0,2,3,8,0,0,0,0,9,8,8,0,0,0,0,0,0,0
linda,0,7,0,0,8,0,0,7,0,0,0,8,0,9,8,1,10,0,0,3,0,0,0,0,0,9,9,0,0,0,0,0,9,9,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0
victoria,8,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,0,0,7,10,4,0,10,0,7,6,8,0,0,0,5,0,0,0,0,0,0
ethan,8,10,0,10,9,0,6,4,0,0,8,0,0,2,0,0,1,0,0,0,0,2,0,0,3,3,0,0,0,0,1,3,2,8,0,0,0,0,0,4,0,2,0,0,3,0,0,10,0,0
kevin,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,7,0,0,4,0,0,0,1,0,0,0,0,0,4,0,0,8,7,7,0,10,0,0,4,9,5,10,0,0,0,0,0,0,0,0
ann,0,0,0,0,4,0,0,0,0,6,0,0,8,0,0,0,0,3,0,0,3,0,2,0,2,0,9,0,0,1,1,10,0,7,0,0,7,0,9,0,10,0,0,1,0,0,0,10,0,9
peter,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,7,8,0,0,1,0,0,0,0,0,0,9,3,0,3,0,5,0,0,7,0,5,0,0,6,0,0,0,0,0,0,0,0,0,10
dennis,1,0,4,0,6,0,2,2,0,0,0,0,0,7,0,7,0,2,0,1,3,0,8,2,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,0
mark,0,0,0,3,0,0,10,0,0,8,7,0,7,0,0,0,0,0,0,10,8,0,9,0,0,0,0,0,0,0,6,0,6,10,8,10,0,10,0,8,0,0,0,0,0,1,0,10,0,6
jordan,0,0,0,0,8,8,0,0,0,2,0,0,4,0,0,0,0,0,1,9,0,5,1,0,0,5,2,10,5,3,0,0,0,1,0,2,0,0,0,8,0,3,0,0,0,0,0,2,0,0
pamela,0,0,0,0,0,0,0,1,0,0,7,0,3,6,0,1,0,0,8,0,0,0,5,0,2,6,0,0,0,0,0,0,0,8,0,0,0,7,0,0,6,0,0,4,0,9,8,9,0,0
larry,6,0,6,0,0,0,0,0,0,0,4,0,10,2,0,0,0,0,0,0,0,0,0,10,1,0,4,10,10,0,7,0,0,0,0,2,0,0,6,0,0,0,0,10,6,0,0,7,0,0
rose,0,0,0,6,7,0,0,0,0,8,0,7,0,0,0,7,10,0,9,0,0,0,2,6,7,0,0,0,0,9,4,0,0,0,0,0,4,1,0,9,0,0,3,1,0,0,3,0,3,0
angela,0,4,0,0,0,0,8,0,3,0,0,0,3,0,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,1,9,8,0,0,0,0,4,8,0,8
bobby,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,6,1,3,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,5,0,0,5,8,0,3,0,7,9,0,0,7,0
sharon,8,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,1,0,7,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0,8,2,1,0,3,0,0,0,0,0,0,0,4,0,5,5
cheryl,0,0,1,3,6,3,0,0,0,0,0,8,2,0,0,0,7,9,7,6,0,0,3,0,0,0,0,0,3,0,0,9,0,0,0,8,9,0,0,4,0,0,0,0,2,0,0,0,0,0
matthew,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,8,0,1,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,1,0,0,0,0,4,0,0,8,0,0,8,0,0,0,0,6
olivia,0,2,0,0,0,1,0,0,0,0,6,0,0,10,10,7,0,0,0,0,7,9,0,9,0,4,4,6,0,0,0,0,0,3,0,8,0,0,0,0,9,0,0,7,0,5,0,0,0,8
andrew,0,0,7,0,0,0,5,6,0,2,0,1,2,0,6,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,0,2,0,3,10,1,2,0
amber,0,8,0,9,4,5,0,0,6,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,10,5,0,10,0,6,0,0,1,2
deborah,0,0,0,0,0,6,0,0,6,0,0,0,0,0,4,8,0,0,0,0,8,3,0,0,0,0,0,0,0,2,0,0,0,2,0,9,0,5,0,0,0,0,0,3,3,3,0,1,0,3
susan,0,0,6,0,10,0,8,0,6,6,0,0,0,0,0,0,0,10,0,0,0,0,8,0,6,4,0,0,1,1,0,6,5,0,0,0,0,8,0,0,0,5,0,0,1,0,0,9,0,0
beverly,9,0,0,3,7,0,0,0,1,0,0,0,0,5,0,0,4,0,0,2,0,8,0,0,0,3,0,0,7,0,10,0,5,0,0,0,10,0,0,5,1,0,0,0,0,3,0,0,1,0
alexander,5,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,7,0,5,0,0,0,2,0,0,10,8,0,2,0,0,9,10,0
amanda,0,0,7,0,0,0,5,5,1,0,0,8,0,9,9,0,0,5,0,9,0,8,0,0,10,0,10,0,0,10,10,0,0,0,0,7,0,0,4,0,0,0,8,9,0,2,0,10,0,0
anna,0,0,4,10,0,8,7,0,8,0,0,0,0,3,0,0,0,0,0,1,0,6,0,3,10,6,0,0,0,3,0,10,0,0,0,0,0,0,0,6,0,0,5,0,3,0,0,9,0,0
ryan,0,0,8,0,0,0,4,0,0,7,3,8,0,0,0,7,4,0,4,2,0,0,0,8,0,10,9,0,5,0,0,0,0,0,0,0,0,0,0,5,9,6,0,0,3,0,1,0,0,0
lawrence,3,7,0,0,0,0,0,0,2,0,9,0,10,9,0,9,0,7,0,0,2,0,0,9,0,9,8,0,6,0,0,0,0,1,5,0,0,0,2,0,0,4,0,8,0,6,9,0,0,0
kyle,0,0,0,0,0,0,0,5,0,0,10,0,3,2,0,2,7,2,5,0,2,0,0,0,0,3,6,0,0,8,0,8,0,0,0,10,8,0,0,5,0,6,5,0,10,0,0,0,6,0
nancy,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,3,0,0,10,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
tiffany,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,5,0,8,0,0,0,10,0,0,0,0,3,0,1,0,9,0,0,8,0,0,0,0,0,5,8,5,0,0,0,0,0
kathleen,0,0,0,0,0,8,0,0,0,0,0,8,0,8,5,0,0,7,0,0,0,0,7,0,6,0,0,2,2,0,0,8,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,9,4
marilyn,0,0,0,9,4,0,9,7,3,0,0,0,2,0,0,7,0,2,0,0,0,0,0,0,0,0,4,0,9,0,0,3,2,1,0,0,6,0,0,7,5,4,0,0,7,0,0,0,0,0
emily,0,4,0,0,9,4,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,9,1,0,8,8,0,0,0,0,6,5,0,0,0,0,0,0,0,1,5,0,8,8,0,0
teresa,0,0,0,0,0,0,3,0,0,0,8,0,8,0,0,0,0,0,0,9,7,8,0,0,5,0,9,0,0,0,0,0,0,8,10,10,0,10,0,0,6,0,0,0,0,1,0,0,0,0
ralph,3,6,0,3,0,0,0,2,8,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,8,0,0,0,8,9,9,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0
amy,0,0,10,0,0,0,0,0,0,0,3,0,2,6,0,0,0,0,0,7,0,0,8,0,10,6,0,0,0,0,2,2,1,0,0,2,0,4,1,0,0,0,5,0,0,0,0,10,0,0
shirley,0,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,3,0,3,2,0,0,0,2,0,7,7,0,10,6,0,0,5,0,0,4,0
carol,0,1,10,1,0,9,0,8,0,0,2,1,0,7,0,0,0,0,0,0,0,0,9,5,0,0,0,8,0,0,0,6,5,7,9,8,0,0,2,3,0,0,8,3,0,3,0,0,0,0
henry,0,0,4,0,0,0,0,0,0,2,0,1,8,0,0,9,0,0,6,0,0,0,0,0,4,9,7,0,8,0,0,0,0,0,6,0,0,0,4,4,0,9,8,0,4,0,8,0,0,0
brandon,0,0,5,0,0,9,0,0,0,0,0,2,9,10,0,0,0,0,0,5,0,0,0,8,10,0,0,0,0,0,0,5,6,4,0,0,0,1,1,0,10,0,0,0,5,5,0,0,0,0
